Xrhsths{onomaXrhsth='515501', onoma='Αλεξανδρος', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='924901', email='acdem515501@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='476297', onoma='Τζουλια', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='710147', email='acdem476297@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='184610', onoma='Αλεξανδρος', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='304597', email='acdem184610@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='626248', onoma='Ελλη', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2004-12-09, kwdikos='373625', email='acdem626248@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='160886', onoma='Φιλιππος', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='120534', email='acdem160886@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='539954', onoma='Ραδιον', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2005-12-09, kwdikos='023693', email='acdem539954@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='470509', onoma='Ελλη', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='000528', email='acdem470509@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='689820', onoma='Ελισαβετ', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='343446', email='acdem689820@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='979082', onoma='Ραδιον', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2001-12-09, kwdikos='606661', email='acdem979082@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='924364', onoma='Νατασσα', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2004-12-09, kwdikos='279948', email='acdem924364@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='261589', onoma='Φιλιππος', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='919966', email='acdem261589@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='022528', onoma='Τζουλια', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2001-12-09, kwdikos='437844', email='acdem022528@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='139809', onoma='Μανωλης', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='395835', email='acdem139809@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='818078', onoma='Τζουλια', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='818551', email='acdem818078@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='113418', onoma='Μανωλης', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='547257', email='acdem113418@academia.gr', roloi=[FOITITIS]}


